Sweep Start (s), 11.12736, 11.2912, 11.45504, 11.61888, 11.78272, 11.94656, 12.1104, 12.27424, 12.43808, 12.60192, 12.76576, 12.9296, 13.09344, 13.25728, 13.42112, 13.58496, 13.7488, 13.91264, 14.07648, 14.24032, 14.40416, 14.568, 14.73184, 14.89568, 15.05952, 15.22336, 15.3872, 15.55104, 15.71488, 15.87872, 16.04256, 16.2064, 16.37024, 16.53408, 16.69792, 16.86176, 17.0256, 17.18944, 17.35328, 17.51712, 17.68096, 17.8448, 18.00864, 18.17248, 18.33632, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, Sweep #39, Sweep #40, Sweep #41, Sweep #42, Sweep #43, Sweep #44, Sweep #45, 
0.00056, -222.9355, -235.1731, -199.2234, -223.7595, -241.1545, -230.2903, -222.6304, -238.9267, -226.1704, -227.208, -234.3796, -453.9231, -237.7976, -228.3066, -226.7197, -231.2363, -209.6604, -239.7507, -230.9006, -217.1067, -235.0205, -227.5437, -242.3752, -236.4548, -226.7807, -220.3415, -220.4026, -242.2226, -232.9758, -231.3584, -228.0014, -239.354, -226.5976, -224.5835, -220.5552, -228.3677, -226.7807, -239.415, -227.208, -231.7246, -233.0063, -232.8232, -231.1448, -228.7034, -231.6941, 
0.00058, -229.4663, -229.1611, -201.6037, -235.1426, -232.5486, -226.4451, -227.7268, -237.6755, -230.2292, -239.354, -228.8865, -451.3291, -245.9458, -228.5202, -237.0652, -237.5229, -201.4206, -222.6609, -236.3633, -227.4827, -236.3633, -233.6777, -235.2646, -222.6914, -225.8347, -223.0576, -243.9011, -230.3208, -244.5115, -242.9551, -226.2009, -222.2641, -246.0373, -236.2107, -220.0364, -232.7317, -226.8113, -225.438, -244.6946, -240.5747, -236.2412, -236.4548, -230.5344, -230.5954, -230.626, 
0.0006, -233.1284, -227.3301, -217.6255, -252.324, -229.4968, -246.8613, -242.4973, -224.0952, -237.8586, -245.2134, -233.6167, -444.8593, -248.1736, -232.0298, -236.8515, -234.1355, -213.292, -239.5981, -228.7949, -229.802, -228.2761, -235.4172, -219.5176, -231.0227, -238.8962, -240.5747, -233.5556, -227.4521, -253.3616, -224.7361, -212.7427, -221.6538, -240.7578, -233.281, -226.5366, -242.0395, -232.8843, -234.7153, -225.1023, -242.772, -231.9993, -237.3398, -228.032, -233.5251, -224.4614, 
0.00062, -223.729, -235.2341, -199.8642, -235.3867, -243.3518, -236.2412, -238.1028, -208.165, -240.4831, -237.8891, -231.2973, -450.4135, -228.3677, -232.5181, -228.4897, -236.1802, -214.9399, -235.6308, -229.4968, -229.9241, -227.6658, -230.687, -232.0298, -225.499, -240.2695, -240.2085, -226.6282, -237.706, -250.0962, -231.1448, -218.3274, -242.894, -234.105, -226.1094, -231.0227, -235.8445, -233.4641, -236.699, -229.2527, -235.1426, -234.2881, -237.0041, -236.0276, -234.5017, -225.4075, 
0.00064, -226.8418, -233.4641, -201.9089, -229.9241, -239.6286, -217.9612, -224.614, -230.9617, -230.9006, -234.8069, -237.1872, -450.383, -220.7993, -226.0483, -227.2995, -233.2505, -208.7449, -224.0036, -231.3889, -232.5791, -208.7143, -230.3513, -233.1589, -237.645, -227.2995, -246.1594, -227.7573, -239.5676, -240.4526, -249.0586, -220.8909, -236.6074, -231.8467, -224.2478, -233.6472, -242.894, -229.5273, -226.7502, -240.9104, -225.6821, -241.9175, -228.4897, -226.9333, -245.9153, -237.0041, 
0.00066, -222.3557, -231.0227, -216.4963, -229.9546, -230.6565, -229.1611, -231.6636, -236.0886, -234.8069, -222.6304, -243.0466, -448.5215, -221.5622, -242.2532, -224.7056, -235.9971, -217.717, -238.6521, -240.6662, -243.6875, -208.989, -232.3349, -225.8347, -234.99, -236.0276, -246.5561, -222.2031, -231.9382, -248.8755, -241.7038, -220.8909, -234.1355, -238.3469, -232.6706, -228.5202, -249.4553, -223.2407, -231.3279, -227.5437, -230.9617, -233.22, -227.6658, -228.9475, -223.729, -232.0298, 
0.00068, -243.4433, -240.178, -207.9209, -239.6286, -236.8821, -240.8493, -233.342, -233.1894, -236.821, -233.0979, -242.7109, -445.6833, -250.4624, -230.9311, -221.4097, -243.4739, -207.7988, -234.105, -243.7485, -234.7764, -235.9971, -229.5273, -238.9573, -238.0112, -239.3235, -236.3633, -233.4641, -228.8865, -238.8657, -229.1001, -224.2173, -227.3301, -233.5251, -231.9687, -235.051, -240.8188, -221.2876, -232.1213, -237.1872, -235.1426, -230.9006, -223.4238, -234.5932, -232.457, -233.5862, 
0.0007, -232.8843, -240.9104, -206.4866, -233.7998, -235.6919, -242.009, -235.0205, -232.8537, -223.5459, -243.1077, -233.22, -445.5002, -239.6897, -236.7295, -243.3213, -247.0749, -222.5083, -230.0766, -226.384, -231.0532, -249.5774, -225.7431, -237.4619, -232.7927, -232.8843, -233.6777, -237.3703, -233.4336, -249.0586, -228.3677, -222.5388, -229.2222, -229.8325, -235.0205, -228.9475, -230.9617, -220.1279, -251.1948, -235.2646, -218.7546, -228.978, -224.1257, -237.8891, -233.5251, -246.8918, 
0.00072, -226.5671, -237.7671, -213.5666, -233.8913, -235.6308, -235.2036, -240.4221, -223.1186, -220.8298, -224.4919, -231.6025, -438.2065, -228.7034, -223.5764, -232.7012, -245.427, -224.5224, -231.3279, -238.1333, -232.9453, -237.7976, -243.2602, -228.3982, -234.6543, -237.6755, -237.2483, -224.4004, -229.7104, -245.0913, -232.2129, -227.0249, -229.2222, -229.0696, -241.3987, -229.2527, -231.8772, -225.2854, -233.6167, -229.1611, -233.281, -227.6658, -249.2112, -227.1775, -229.5273, -237.7671, 
0.00074, -228.8254, -229.2222, -209.1721, -246.9223, -233.2505, -233.9524, -225.1633, -218.3579, -225.9263, -230.7175, -228.2151, -441.9602, -243.0466, -228.4287, -229.1306, -223.5764, -234.5932, -234.105, -219.426, -234.9595, -214.3601, -234.4712, -224.8276, -231.6636, -236.7295, -236.821, -225.3769, -239.415, -255.803, -229.741, -227.1775, -226.2009, -239.1098, -242.7109, -219.9143, -233.4031, -225.5295, -241.5818, -227.147, -234.0744, -227.5437, -237.7671, -229.9546, -229.6799, -228.4897, 
