Sweep Start (s), 52.00926, 52.1731, 52.33694, 52.50078, 52.66462, 52.82846, 52.9923, 53.15614, 53.31998, 53.48382, 53.64766, 53.8115, 53.97534, 54.13918, 54.30302, 54.46686, 54.6307, 54.79454, 54.95838, 55.12222, 55.28606, 55.4499, 55.61374, 55.77758, 55.94142, 56.10526, 56.2691, 56.43294, 56.59678, 56.76062, 56.92446, 57.0883, 57.25214, 57.41598, 57.57982, 57.74366, 57.9075, 58.07134, 58.23518, 58.39902, 58.56286, 58.7267, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, Sweep #39, Sweep #40, Sweep #41, Sweep #42, 
0.00056, -451.3291, -233.6777, -246.373, -239.9338, -236.6684, -229.2222, -238.8047, -465.5503, -244.8472, -228.8254, -213.2615, -212.407, -229.6189, -230.4429, -244.2673, -451.0544, -458.9279, -450.5051, -189.4577, -201.6343, -236.4853, -224.9497, -238.8962, -234.8984, -219.7922, -233.3725, -228.3066, -224.7361, -212.5596, -235.3562, -241.6123, -225.7737, -224.2783, -225.5295, -242.2226, -229.6799, -203.4958, -237.645, -236.4243, -235.3257, -237.584, -236.6684, 
0.00058, -453.7705, -227.3606, -241.4902, -234.4101, -242.8025, -235.7834, -236.4853, -447.9721, -239.7507, -234.5627, -233.7388, -217.0151, -226.7502, -228.7034, -246.7392, -447.8501, -459.5078, -448.8266, -206.2729, -206.1509, -241.7344, -239.9643, -227.8183, -230.3818, -236.0886, -234.2881, -218.2358, -240.8799, -200.261, -235.2952, -231.2973, -235.1426, -230.2292, -236.3022, -232.9148, -222.02, -202.7024, -226.3535, -241.3987, -236.9431, -231.1448, -240.4221, 
0.0006, -447.9416, -228.093, -231.9687, -231.9687, -242.3447, -240.6357, -243.9621, -440.4038, -224.4919, -239.9033, -245.3354, -210.9116, -242.9245, -233.5251, -236.9126, -452.3972, -461.0947, -457.9514, -220.5857, -211.1863, -225.3769, -232.1213, -225.8042, -241.7038, -241.4292, -226.8113, -209.6604, -249.8215, -212.2544, -244.2673, -239.8728, -219.1819, -226.384, -239.5676, -239.0488, -236.4853, -211.0337, -236.7905, -241.5513, -242.3142, -241.8869, -236.8515, 
0.00062, -457.4936, -238.2554, -235.051, -237.3703, -233.3725, -241.6123, -237.8891, -456.6086, -235.051, -232.7927, -238.53, -203.3432, -230.5344, -231.7856, -232.396, -446.9345, -460.9726, -444.3405, -206.2424, -225.9263, -224.4614, -230.4123, -243.9927, -233.8303, -239.8118, -228.093, -201.7258, -245.5491, -220.7688, -224.2173, -247.136, -213.6277, -228.8559, -234.3796, -226.8723, -235.7224, -222.5083, -232.457, -251.3474, -232.3349, -239.2014, -248.5093, 
0.00064, -462.8952, -238.8352, -246.7087, -243.9316, -236.5464, -237.0347, -234.0744, -462.3459, -220.4026, -239.0793, -231.6636, -209.1416, -225.7431, -236.6684, -245.9458, -448.3994, -458.9279, -446.4157, -201.4206, -210.8201, -247.6548, -223.0576, -242.7414, -231.0227, -225.9568, -240.8188, -209.3857, -245.8237, -229.741, -226.0178, -224.6445, -219.7007, -236.5464, -229.5273, -232.4265, -230.0766, -208.0124, -229.4663, -234.227, -236.0276, -243.1687, -244.2978, 
0.00066, -458.6228, -225.6516, -242.8635, -235.936, -237.8891, -231.6636, -245.7627, -464.0549, -222.4167, -237.4009, -241.8869, -212.3154, -230.0766, -234.8069, -237.8281, -449.0403, -460.3928, -439.122, -195.3782, -225.0718, -238.9573, -239.5066, -232.9758, -236.9431, -223.6374, -233.9829, -230.9311, -227.8489, -217.8391, -223.2102, -234.7458, -210.1181, -231.8161, -227.208, -224.1257, -239.5981, -212.7121, -220.5857, -231.6636, -232.0298, -236.3022, -220.5857, 
0.00068, -456.6391, -223.9426, -237.706, -221.4707, -229.7104, -231.1142, -233.4336, -450.5661, -242.4668, -236.699, -249.6689, -216.8015, -235.0205, -218.2053, -239.0793, -458.104, -453.6179, -454.2588, -191.7771, -234.0134, -226.8113, -234.6543, -227.9709, -233.4031, -231.8467, -228.4897, -237.4009, -232.1824, -238.1638, -222.8745, -235.0205, -199.1929, -227.4827, -229.1001, -228.7339, -243.2908, -207.6767, -216.5268, -240.2085, -230.8701, -229.4663, -224.5835, 
0.0007, -464.4821, -240.7578, -217.1067, -236.9736, -225.5906, -244.7251, -236.4853, -456.4255, -230.4734, -257.5119, -233.7693, -215.3367, -220.25, -229.2832, -234.166, -448.5215, -453.6484, -460.5454, -205.7541, -223.4848, -222.4778, -242.1921, -222.0505, -246.0373, -230.3208, -242.4057, -243.1687, -223.9731, -243.9316, -242.5889, -236.8821, -201.97, -233.6777, -229.741, -230.8091, -222.6304, -219.0598, -221.3791, -234.9289, -234.166, -236.6379, -241.7038, 
0.00072, -465.947, -237.9197, -228.1846, -242.6804, -243.6264, -254.7959, -236.7905, -455.1743, -231.9382, -234.9595, -220.9214, -211.9492, -226.9639, -236.3022, -236.0886, -452.1225, -459.9655, -450.8408, -206.9748, -230.4734, -232.7012, -233.9219, -232.1213, -240.9409, -214.8179, -233.4641, -242.6194, -238.1943, -233.2505, -243.8096, -235.875, -193.303, -238.3469, -231.3584, -227.147, -231.2058, -220.7993, -206.2729, -239.4455, -242.1006, -245.366, -234.3186, 
0.00074, -465.947, -241.0019, -232.396, -234.5627, -233.8303, -233.4336, -240.8799, -452.3056, -237.7976, -223.3017, -233.8913, -194.3406, -227.7573, -233.4641, -236.821, -462.3764, -451.5427, -447.789, -204.3808, -227.3301, -241.7649, -246.4646, -233.7388, -224.553, -229.3747, -234.4101, -235.6003, -246.1899, -236.6684, -243.8401, -229.5884, -200.7187, -235.3867, -222.5083, -238.7742, -237.2483, -216.2827, -200.322, -249.3027, -239.7507, -233.8303, -226.7807, 
