Sweep Start (s), 16.46874, 16.63258, 16.79642, 16.96026, 17.1241, 17.28794, 17.45178, 17.61562, 17.77946, 17.9433, 18.10714, 18.27098, 18.43482, 18.59866, 18.7625, 18.92634, 19.09018, 19.25402, 19.41786, 19.5817, 19.74554, 19.90938, 20.07322, 20.23706, 20.4009, 20.56474, 20.72858, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, 
0.0004, -431.4471, -204.3353, -207.1735, -201.4667, -200.9479, -213.4601, -197.1637, -190.3888, -196.1566, -192.1283, -193.5016, -201.0394, -209.5844, -179.7077, -174.3366, -210.5609, -206.7157, -225.2399, -205.4645, -197.2247, -194.4476, -198.598, -209.1266, -194.8139, -203.2367, -174.6112, -216.2982, 
0.00042, -412.1906, -198.0487, -190.1752, -198.0182, -206.9293, -213.5822, -176.4728, -191.8842, -193.8373, -192.1283, -200.0629, -195.2106, -217.4579, -175.4047, -184.621, -223.0731, -204.61, -216.2982, -204.1522, -197.2553, -199.9408, -191.8537, -186.7572, -203.7555, -201.07, -194.9054, -225.8808, 
0.00044, -425.4657, -198.7506, -195.9735, -191.4569, -200.246, -207.5092, -193.7152, -198.5675, -193.6237, -195.5768, -191.7926, -186.6962, -228.7799, -188.7409, -188.8934, -224.0192, -196.4008, -214.9249, -202.2907, -199.4525, -194.997, -195.6989, -176.6559, -195.6989, -180.0739, -194.6002, -221.3947, 
0.00046, -429.1888, -205.9223, -196.9501, -200.3681, -208.2111, -209.5844, -204.549, -211.568, -196.9196, -195.0275, -196.4923, -176.5643, -230.4279, -205.434, -198.8117, -225.5756, -197.2247, -212.0563, -201.4362, -200.9174, -193.6847, -199.8493, -184.1632, -190.7245, -187.4286, -199.422, -229.848, 
0.00048, -435.8112, -195.6684, -197.713, -195.8515, -209.4623, -198.8727, -199.9103, -194.9359, -195.943, -195.0275, -194.2035, -188.161, -224.7821, -206.5021, -195.4852, -206.6852, -203.2977, -219.2279, -193.6237, -197.0722, -199.8187, -198.1403, -180.5927, -193.349, -194.6613, -200.9479, -228.6884, 
0.0005, -430.9894, -205.8917, -198.6286, -183.797, -195.882, -206.3495, -199.0863, -179.6466, -209.9201, -206.1664, -199.9408, -200.0629, -215.871, -203.3893, -190.3583, -220.0519, -198.2013, -216.756, -190.8161, -205.434, -195.3937, -196.6144, -206.0138, -206.3495, -203.2977, -201.6193, -233.6627, 
0.00052, -424.6417, -199.483, -208.4247, -193.7763, -208.3942, -213.6127, -210.2863, -180.257, -190.6329, -214.0704, -207.0209, -205.8917, -220.7538, -191.3654, -199.1474, -239.8883, -197.1332, -199.9103, -187.8253, -200.185, -192.2504, -193.5321, -198.3844, -196.8585, -192.7081, -197.5299, -207.6618, 
0.00054, -426.2286, -203.9691, -206.0138, -203.5114, -187.5202, -206.2885, -199.361, -194.2951, -197.5299, -202.8705, -205.1288, -197.2858, -225.5451, -200.6427, -205.9528, -221.4557, -189.6869, -215.2912, -193.41, -207.6923, -183.4613, -190.1142, -200.9784, -195.9735, -190.2362, -202.2907, -216.0846, 
0.00056, -440.4193, -195.8515, -191.3349, -201.6193, -191.9147, -204.0607, -195.4852, -194.5087, -193.6237, -202.9315, -200.0018, -204.4879, -236.6535, -207.3261, -195.0885, -209.6454, -204.1522, -222.3102, -209.3402, -193.8373, -202.4127, -201.9855, -198.2318, -207.143, -200.5206, -203.5419, -216.6034, 
0.00058, -438.4052, -198.537, -197.8961, -195.5158, -194.9664, -208.9435, -213.7042, -200.8563, -183.1867, -208.2111, -198.3844, -222.0355, -231.0687, -207.6923, -197.5299, -224.6295, -194.9664, -210.7135, -206.5631, -193.9594, -205.495, -207.143, -198.5675, -203.1146, -193.0744, -202.9315, -223.8361, 
